file,electric,lightning,nuclear,temporal
campione_1_lightning_neutron\arxiv_2606.08023.json,0,0,1,0
campione_1_lightning_neutron\arxiv_2606.08250.json,0,0,1,0
campione_1_lightning_neutron\arxiv_2606.08487.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2606.08522.json,0,0,1,0
campione_1_lightning_neutron\arxiv_2606.08598.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2606.08628.json,0,0,1,0
campione_1_lightning_neutron\arxiv_2606.08899.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2606.08968.json,0,0,1,0
campione_1_lightning_neutron\arxiv_2606.09079.json,0,1,0,0
campione_1_lightning_neutron\arxiv_2606.09247.json,0,0,1,0
campione_1_lightning_neutron\arxiv_2606.09341.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2606.09352.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2606.09417.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2606.09579.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2606.09621.json,0,0,1,0
campione_1_lightning_neutron\arxiv_2606.09628.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2606.09656.json,0,0,0,0
campione_1_lightning_neutron\arxiv_2606.09786.json,0,0,1,0
campione_1_lightning_neutron\arxiv_2606.09823.json,0,0,0,0
campione_1_lightning_neutron\figshare_28988552.json,1,1,0,0
campione_1_lightning_neutron\figshare_31968378.json,1,1,0,0
campione_1_lightning_neutron\nasa_ads_11649614.json,0,0,4,0
campione_1_lightning_neutron\nasa_ads_1316150.json,0,0,0,0
campione_1_lightning_neutron\nasa_ads_13306238.json,0,0,5,1
campione_1_lightning_neutron\nasa_ads_1413964.json,0,0,3,0
campione_1_lightning_neutron\nasa_ads_1415579.json,0,0,3,0
campione_1_lightning_neutron\nasa_ads_1470537.json,0,0,1,0
campione_1_lightning_neutron\nasa_ads_1531559.json,0,0,2,0
campione_1_lightning_neutron\nasa_ads_1579058.json,0,0,0,0
campione_1_lightning_neutron\nasa_ads_17812230.json,0,0,1,1
campione_1_lightning_neutron\nasa_ads_17812244.json,0,0,3,0
campione_1_lightning_neutron\nasa_ads_1838226.json,1,0,6,0
campione_1_lightning_neutron\nasa_ads_1858324.json,0,0,1,0
campione_1_lightning_neutron\nasa_ads_20616874.json,0,0,2,0
